x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14
-1.90E-06,0.019320208,-1.90E-06,0.036687747,-1.48E-06,0.009556847,-1.95E-06,0.008249063,-0.000002027,0.064015976,-8.72E-07,0.071495996,-1.68E-06,0.030538625,-1.61E-06,0.044360541,-1.81E-06,0.027176464,-2.21E-06,0.02838877,-2.75E-06,0.010785281,-9.42E-07,0.041588317,-2.32E-06,0.055281493,-1.88E-06,0.042143172
-1.82E-06,0.023380695,-1.82E-06,0.042568679,-1.34E-06,0.016572537,-1.81E-06,0.012795055,-1.89E-06,0.077734987,-7.38E-07,0.107592456,-1.54E-06,0.042432714,-1.48E-06,0.059337324,-1.68E-06,0.03741399,-2.08E-06,0.036760358,-2.61E-06,0.014746062,-7.97E-07,0.071341581,-2.17E-06,0.067335144,-1.74E-06,0.055518409
-1.75E-06,0.02813623,-1.75E-06,0.04919001,-0.000001208,0.02760764,-1.68E-06,0.019370671,-1.76E-06,0.093578269,-6.04E-07,0.155300907,-1.41E-06,0.057835328,-1.34E-06,0.078032203,-1.54E-06,0.050604401,-1.95E-06,0.047059039,-2.46E-06,0.019894736,-6.52E-07,0.115189477,-2.03E-06,0.081325414,-1.59E-06,0.072041802
-1.61E-06,0.040073135,-1.68E-06,0.056608678,-1.07E-06,0.044172445,-1.54E-06,0.028612096,-1.62E-06,0.111701889,-4.70E-07,0.215157057,-1.28E-06,0.077310122,-0.000001208,0.100869847,-1.41E-06,0.067258383,-0.000001812,0.059542127,-2.32E-06,0.026494501,-5.07E-07,0.175437218,-1.88E-06,0.097405108,-1.45E-06,0.092096792
-1.46E-06,0.05583098,-1.61E-06,0.064882525,-9.40E-07,0.067953285,-1.41E-06,0.041258476,-1.49E-06,0.132191501,-3.36E-07,0.286598816,-1.14E-06,0.101404045,-1.07E-06,0.128231947,-1.28E-06,0.087880405,-1.68E-06,0.07448292,-2.17E-06,0.034831685,-3.62E-07,0.252575888,-1.74E-06,0.115702347,-1.30E-06,0.116011521
-1.31E-06,0.076116903,-1.53E-06,0.074065232,-8.05E-07,0.100585107,-1.28E-06,0.058098763,-1.35E-06,0.155134948,-2.01E-07,0.367665525,-1.01E-06,0.130552375,-9.40E-07,0.160363149,-1.14E-06,0.112865798,-1.54E-06,0.092128853,-2.03E-06,0.04521893,-2.17E-07,0.344676549,-1.59E-06,0.136315553,-1.16E-06,0.144034947
-1.17E-06,0.101577363,-1.39E-06,0.095363336,-6.71E-07,0.14341954,-1.14E-06,0.079938776,-1.22E-06,0.180583081,-6.70E-08,0.455186149,-8.72E-07,0.165062009,-8.05E-07,0.197373948,-1.01E-06,0.142550241,-1.41E-06,0.112710606,-0.000001884,0.057954962,-7.24E-08,0.44700006,-1.45E-06,0.159311415,-1.01E-06,0.176297726
-1.02E-06,0.132739732,-1.24E-06,0.120858147,-5.37E-07,0.197080159,-1.01E-06,0.107459175,-1.08E-06,0.208479119,6.715E-08,0.544880405,-7.38E-07,0.20495386,-6.71E-07,0.239095078,-8.73E-07,0.177109794,-1.28E-06,0.136363687,-1.74E-06,0.073354028,7.245E-08,0.55299994,-1.30E-06,0.184709998,-8.70E-07,0.212790165
-8.76E-07,0.16992478,-1.09E-06,0.150808153,-4.03E-07,0.261374925,-8.72E-07,0.141226547,-0.000000946,0.238767081,2.0135E-07,0.632334475,-0.000000604,0.250076841,-5.37E-07,0.285223157,-7.38E-07,0.216568867,-1.14E-06,0.163205538,-1.59E-06,0.091703036,2.1735E-07,0.655323451,-1.16E-06,0.212482947,-7.25E-07,0.253351919
-7.30E-07,0.21319598,-9.49E-07,0.185329594,-2.69E-07,0.335007363,-7.38E-07,0.181544258,-8.11E-07,0.271340608,3.3555E-07,0.713401184,-4.70E-07,0.29998631,-4.03E-07,0.335209818,-6.04E-07,0.260651638,-1.01E-06,0.193263293,-1.45E-06,0.11326615,3.6235E-07,0.747424112,-1.01E-06,0.242556076,-5.80E-07,0.297646907
-5.84E-07,0.262287136,-8.03E-07,0.224370836,-1.34E-07,0.415669508,-6.04E-07,0.228425151,-6.76E-07,0.30596237,4.6985E-07,0.784892016,-3.36E-07,0.354008672,-2.68E-07,0.388341486,-4.70E-07,0.308945406,-8.72E-07,0.226503094,-1.30E-06,0.138204301,5.0725E-07,0.824562782,-8.70E-07,0.274795737,-4.35E-07,0.345171001
-4.38E-07,0.316599692,-6.57E-07,0.267701214,0,0.5,-4.70E-07,0.281391082,-5.41E-07,0.342410838,6.0405E-07,0.844739147,-2.01E-07,0.411101622,-1.34E-07,0.443610241,-3.36E-07,0.360790757,-7.38E-07,0.262721441,-1.16E-06,0.166645753,6.5215E-07,0.884810523,-7.25E-07,0.309013803,-2.90E-07,0.395276546
-2.92E-07,0.375186748,-5.11E-07,0.314883242,1.342E-07,0.584330492,-3.36E-07,0.339662374,-4.05E-07,0.380418537,7.3825E-07,0.892407544,-6.71E-08,0.470145532,0,0.5,-2.01E-07,0.415373406,-0.000000604,0.301691086,-1.01E-06,0.198635675,7.9715E-07,0.928683472,-5.80E-07,0.344977519,-1.45E-07,0.447178173
-1.46E-07,0.436804426,-3.65E-07,0.365302315,2.684E-07,0.664934816,-2.01E-07,0.402045738,-2.70E-07,0.419588545,8.7245E-07,0.928504004,6.71E-08,0.529854468,1.342E-07,0.556389759,-6.71E-08,0.47160021,-4.70E-07,0.343066624,-8.70E-07,0.234045926,9.4205E-07,0.958411683,-4.35E-07,0.382399644,-5.00E-12,0.499998172
5E-12,0.500002174,-2.19E-07,0.418162464,4.027E-07,0.738625075,-6.71E-08,0.467083595,-1.35E-07,0.459572557,,,2.014E-07,0.588941802,2.685E-07,0.611699011,6.71E-08,0.52839979,-3.36E-07,0.386448652,-7.25E-07,0.272699165,,,-2.90E-07,0.420951558,1.44925E-07,0.552821827
1.45985E-07,0.563195574,-7.30E-08,0.472549581,5.369E-07,0.802919841,6.715E-08,0.532965385,0,0.5,,,3.356E-07,0.646032845,4.027E-07,0.664790182,2.013E-07,0.584626594,-2.01E-07,0.431265854,-5.80E-07,0.314280716,,,-1.45E-07,0.460280071,2.89845E-07,0.604719926
2.91975E-07,0.624817384,7.299E-08,0.527450419,6.711E-07,0.85658046,2.0135E-07,0.597954262,1.351E-07,0.540397643,,,4.698E-07,0.70001369,5.369E-07,0.714776843,3.356E-07,0.639209243,-6.71E-08,0.476986852,-4.35E-07,0.358395116,,,5E-12,0.500001373,4.34775E-07,0.654825622
4.37955E-07,0.683400308,2.1898E-07,0.581837536,8.053E-07,0.899386919,3.3555E-07,0.660337626,2.702E-07,0.580382112,,,0.000000604,0.749923159,6.711E-07,0.760904922,4.698E-07,0.691054594,6.71E-08,0.523013148,-2.90E-07,0.404454166,,,1.44925E-07,0.539719929,5.79705E-07,0.702353093
5.83945E-07,0.737712864,3.6496E-07,0.634697685,9.396E-07,0.932046715,4.6985E-07,0.718650487,4.054E-07,0.619581463,,,7.383E-07,0.795077851,8.054E-07,0.802655402,0.000000604,0.739348362,2.014E-07,0.568767951,-1.45E-07,0.451878271,,,2.89855E-07,0.579048442,7.24625E-07,0.746645149
7.29925E-07,0.78680402,5.1095E-07,0.685116758,1.0738E-06,0.955827555,6.0405E-07,0.771612112,5.405E-07,0.657561577,,,8.725E-07,0.834965707,9.396E-07,0.839636851,7.382E-07,0.783431133,3.356E-07,0.613584263,0,0.5,,,4.34785E-07,0.617602981,8.69555E-07,0.787207174
8.75915E-07,0.83007522,6.5694E-07,0.732301892,0.000001208,0.97239236,7.3825E-07,0.818455742,6.757E-07,0.69403763,,,1.0067E-06,0.869447625,1.0738E-06,0.871768053,8.725E-07,0.822890206,4.698E-07,0.656933376,0.000000145,0.548154778,,,5.79705E-07,0.655022481,1.01449E-06,0.823702274
1.0219E-06,0.867260268,8.0292E-07,0.775629164,1.3422E-06,0.983420915,8.7245E-07,0.858773453,8.108E-07,0.728659392,,,1.1409E-06,0.898595955,0.000001208,0.899130153,1.0067E-06,0.857449759,0.000000604,0.698308914,2.899E-07,0.595578165,,,7.24635E-07,0.690986197,1.15941E-06,0.855962974
1.16789E-06,0.898422637,9.4891E-07,0.814672927,1.4765E-06,0.990443153,1.00675E-06,0.892563602,9.459E-07,0.761209643,,,1.2752E-06,0.922706047,1.3423E-06,0.921983214,1.1409E-06,0.887134202,7.383E-07,0.737306609,4.348E-07,0.641636055,,,8.69555E-07,0.725204263,1.30434E-06,0.883986689
1.31388E-06,0.923884656,1.09489E-06,0.849191847,,,1.14095E-06,0.920079526,1.0811E-06,0.791520881,,,1.4094E-06,0.942177591,1.4765E-06,0.940662676,1.2751E-06,0.912119595,8.725E-07,0.7735228,5.797E-07,0.685719284,,,1.01449E-06,0.757443924,1.44927E-06,0.907903208
1.45986E-06,0.94416902,1.24088E-06,0.879141853,,,1.27515E-06,0.941901237,1.2162E-06,0.819416919,,,1.5436E-06,0.957567286,1.6107E-06,0.955639459,1.4094E-06,0.932741617,1.0067E-06,0.806736707,7.247E-07,0.727328564,,,1.15942E-06,0.787517053,1.59419E-06,0.927956941
1.60585E-06,0.959927805,1.38686E-06,0.904636664,,,1.40935E-06,0.958741524,1.3513E-06,0.84484715,,,1.6778E-06,0.969461375,,,1.5436E-06,0.949395599,1.1409E-06,0.836794462,8.696E-07,0.76597966,,,1.30434E-06,0.815290002,1.73912E-06,0.944480564
1.75183E-06,0.97186377,1.53285E-06,0.925934768,,,1.54365E-06,0.971395963,1.4865E-06,0.867808499,,,,,,,1.6778E-06,0.96258601,1.2752E-06,0.863655117,1.0145E-06,0.801387591,,,1.44927E-06,0.840688585,1.88405E-06,0.957856828
1.89782E-06,0.980680048,1.67883E-06,0.943390785,,,1.67785E-06,0.980635134,1.6216E-06,0.888298111,,,,,,,0.000001812,0.972823536,1.4094E-06,0.887305852,1.1595E-06,0.833375094,,,1.5942E-06,0.863684447,,
2.0438E-06,0.987028769,1.82482E-06,0.957431321,,,1.81205E-06,0.987204945,1.7567E-06,0.906409181,,,,,,,,,1.5436E-06,0.907871147,1.3044E-06,0.86181411,,,1.73912E-06,0.884297653,,
,,1.9708E-06,0.968511255,,,1.94625E-06,0.991750937,1.8919E-06,0.922265013,,,,,,,,,1.6778E-06,0.92551708,1.4493E-06,0.886749872,,,1.88405E-06,0.902594892,,
,,2.11679E-06,0.977092003,,,,,0.000002027,0.935984024,,,,,,,,,1.8121E-06,0.940468058,1.5942E-06,0.908296964,,,2.02898E-06,0.918674586,,
,,2.26277E-06,0.983611707,,,,,,,,,,,,,,,1.9463E-06,0.952949412,1.7392E-06,0.926657585,,,2.1739E-06,0.932664856,,
,,,,,,,,,,,,,,,,,,2.0805E-06,0.963239642,1.8841E-06,0.942054711,,,2.31883E-06,0.944718507,,
,,,,,,,,,,,,,,,,,,2.2147E-06,0.97161123,0.000002029,0.95478901,,,,,,
,,,,,,,,,,,,,,,,,,,,2.1739E-06,0.965168315,,,,,,
,,,,,,,,,,,,,,,,,,,,2.3189E-06,0.973510619,,,,,,
,,,,,,,,,,,,,,,,,,,,2.4638E-06,0.980109286,,,,,,
,,,,,,,,,,,,,,,,,,,,2.6087E-06,0.985257052,,,,,,
,,,,,,,,,,,,,,,,,,,,2.7536E-06,0.989214719,,,,,,
